blemishID,lensZoneID,lensZonePass,lensDefectSpecLimit_um_lower,lensDefectSpecLimit_um_upper,displayZoneID,dispZonePass,dispDefectSpecLimit_um_lower,dispDefectSpecLimit_um_upper,cleanable,dispZoneAngle_deg,dispZoneRadius_pix,camCentroid_pix_X,camCentroid_pix_Y,dispCoords_pix_X,dispCoords_pix_Y,dispCoords_mm_X,dispCoords_mm_Y,contrastInCameraImage,surfaceIndex,surfaceName,surfCoords_mm_X,surfCoords_mm_Y,Aquila_surfCoords_um_X,Aquila_surfCoords_um_Y,Aquila_distance_um,Aquila_angle_deg,defect_Z_global_mm,defectSurfDiameter_um,defectSurfMajorAxisLength_um,defectSurfMinorAxisLength_um,defectSurfArea_um2,rawImgDownSamp
114,3D,1,0.0,340.0,2,1,0.0,15.0,1,120.50,414.72,1870.60,1657.00,1725.79,1985.99,-0.73,3.11,-0.21,8,L3S2 (L3 Rear),0.12,2.64,-1684.25,-2635.01,3127.30,-122.59,13.39,20.57,20.57,20.57,332.27,2
136,3D,1,0.0,340.0,2,1,0.0,15.0,1,88.05,932.77,2037.18,2041.73,1948.65,2498.97,0.94,6.96,-0.20,8,L3S2 (L3 Rear),1.95,6.98,145.20,-6980.15,6981.66,-88.81,13.78,19.68,19.68,19.68,304.06,2
138,3D,1,0.0,340.0,2,1,0.0,15.0,1,84.27,609.95,2051.67,1831.22,1971.74,2223.90,1.11,4.89,-0.25,8,L3S2 (L3 Rear),2.17,4.52,365.26,-4520.64,4535.37,-85.38,13.53,21.52,21.52,21.52,363.56,2
143,3D,1,0.0,340.0,1,1,0.0,10.0,1,56.08,177.12,2089.12,1521.47,2029.23,1804.05,1.54,1.74,-0.28,8,L3S2 (L3 Rear),2.45,1.05,651.23,-1046.57,1232.64,-58.11,13.39,26.47,26.47,26.47,550.29,2
147,3D,1,0.0,340.0,2,1,0.0,15.0,1,79.02,730.51,2109.89,1903.22,2049.99,2319.88,1.70,5.61,-0.44,8,L3S2 (L3 Rear),2.76,5.35,955.64,-5354.16,5438.78,-79.88,13.63,29.60,29.60,29.60,688.19,2
191,3D,1,0.0,340.0,3,1,0.0,20.0,1,41.49,1247.19,2658.60,1982.60,2766.00,2403.96,7.07,6.24,-0.11,8,L3S2 (L3 Rear),8.78,6.20,6981.13,-6196.18,9334.29,-41.59,14.47,14.11,14.11,14.11,156.30,2
194,3D,1,0.0,340.0,2,1,0.0,15.0,1,-22.17,1057.34,2708.60,1141.80,2865.33,1300.11,7.81,-2.04,-0.08,8,L3S2 (L3 Rear),9.10,-3.08,7303.57,3077.39,7925.43,22.85,14.20,18.07,18.07,18.07,256.58,2
206,3D,1,0.0,340.0,2,1,0.0,15.0,1,-12.75,1174.16,2821.75,1239.50,3004.89,1433.83,8.86,-1.03,-0.13,8,L3S2 (L3 Rear),10.37,-2.02,8571.09,2023.79,8806.78,13.29,14.43,19.96,19.96,19.96,312.85,2
207,3D,1,0.0,340.0,2,1,0.0,15.0,1,-6.95,1175.80,2835.20,1320.40,3020.39,1540.90,8.98,-0.23,-0.18,8,L3S2 (L3 Rear),10.54,-1.14,8737.32,1140.37,8811.43,7.44,14.43,20.87,20.87,20.87,342.00,2
212,3D,1,0.0,340.0,3,1,0.0,20.0,1,30.94,1458.51,2880.60,1936.20,3028.40,2324.55,9.04,5.65,-0.17,8,L3S2 (L3 Rear),11.20,5.63,9402.84,-5630.89,10959.94,-30.92,15.02,17.31,17.31,17.31,235.33,2
234,3D,1,0.0,340.0,3,1,0.0,20.0,1,9.18,1669.12,3166.78,1606.78,3361.81,1900.32,11.54,2.47,-0.14,8,L3S2 (L3 Rear),14.24,1.96,12437.22,-1963.19,12591.21,-8.97,15.61,16.36,16.36,16.36,210.26,2
205,3D,1,0.0,340.0,3,1,0.0,20.0,0,-39.89,1590.90,2821.10,754.80,2979.92,817.51,8.67,-5.65,-0.40,10,APF Refractive,10.98,-7.82,9183.61,7818.61,12061.07,40.41,13.36,29.37,29.37,29.37,677.34,2
